name	group	targetID
Lepirudin	approved	BE0000048
Cetuximab	approved	BE0000767
Cetuximab	approved	BE0000901
Cetuximab	approved	BE0002094
Cetuximab	approved	BE0002095
Cetuximab	approved	BE0002096
Cetuximab	approved	BE0002097
Cetuximab	approved	BE0000710
Cetuximab	approved	BE0002098
Dornase alfa	approved	BE0004796
Denileukin diftitox	approved,investigational	BE0000658
Denileukin diftitox	approved,investigational	BE0000651
Denileukin diftitox	approved,investigational	BE0002102
Etanercept	approved,investigational	BE0000704
Etanercept	approved,investigational	BE0000710
Etanercept	approved,investigational	BE0002098
Etanercept	approved,investigational	BE0002099
Etanercept	approved,investigational	BE0002100
Etanercept	approved,investigational	BE0002097
Etanercept	approved,investigational	BE0000901
Etanercept	approved,investigational	BE0001087
Etanercept	approved,investigational	BE0009995
Bivalirudin	approved,investigational	BE0000048
Leuprolide	approved,investigational	BE0000203
Peginterferon alfa-2a	approved,investigational	BE0000385
Peginterferon alfa-2a	approved,investigational	BE0000661
Alteplase	approved	BE0000211
Alteplase	approved	BE0000538
Alteplase	approved	BE0000717
Alteplase	approved	BE0000240
Sermorelin	approved,withdrawn	BE0000625
Interferon alfa-n1	approved,investigational	BE0000385
Interferon alfa-n1	approved,investigational	BE0000661
Darbepoetin alfa	approved,investigational	BE0000654
Urokinase	approved,investigational,withdrawn	BE0000211
Urokinase	approved,investigational,withdrawn	BE0000717
Urokinase	approved,investigational,withdrawn	BE0000240
Urokinase	approved,investigational,withdrawn	BE0000969
Urokinase	approved,investigational,withdrawn	BE0002112
Urokinase	approved,investigational,withdrawn	BE0000942
Urokinase	approved,investigational,withdrawn	BE0001656
Urokinase	approved,investigational,withdrawn	BE0002113
Goserelin	approved	BE0000134
Goserelin	approved	BE0000203
Reteplase	approved,investigational	BE0000211
Reteplase	approved,investigational	BE0000538
Reteplase	approved,investigational	BE0000240
Erythropoietin	approved	BE0000654
Salmon calcitonin	approved,investigational	BE0000431
Interferon alfa-n3	approved,investigational	BE0000661
Interferon alfa-n3	approved,investigational	BE0000385
Pegfilgrastim	approved	BE0000793
Sargramostim	approved,investigational	BE0000628
Sargramostim	approved,investigational	BE0001036
Sargramostim	approved,investigational	BE0002115
Sargramostim	approved,investigational	BE0002116
Sargramostim	approved,investigational	BE0002114
Peginterferon alfa-2b	approved	BE0000661
Peginterferon alfa-2b	approved	BE0000385
Asparaginase Escherichia coli	approved,investigational	BE0004798
Thyrotropin alfa	approved,vet_approved	BE0000490
Antihemophilic factor, human recombinant	approved,investigational	BE0000216
Antihemophilic factor, human recombinant	approved,investigational	BE0000364
Antihemophilic factor, human recombinant	approved,investigational	BE0001043
Antihemophilic factor, human recombinant	approved,investigational	BE0002117
Antihemophilic factor, human recombinant	approved,investigational	BE0002118
Antihemophilic factor, human recombinant	approved,investigational	BE0001098
Antihemophilic factor, human recombinant	approved,investigational	BE0002109
Antihemophilic factor, human recombinant	approved,investigational	BE0001011
Antihemophilic factor, human recombinant	approved,investigational	BE0002119
Antihemophilic factor, human recombinant	approved,investigational	BE0002110
Antihemophilic factor, human recombinant	approved,investigational	BE0002120
Anakinra	approved	BE0000565
Human immunoglobulin G	approved,investigational	BE0000710
Human immunoglobulin G	approved,investigational	BE0004684
Human immunoglobulin G	approved,investigational	BE0002098
Human immunoglobulin G	approved,investigational	BE0002099
Human immunoglobulin G	approved,investigational	BE0002100
Human immunoglobulin G	approved,investigational	BE0002097
Human immunoglobulin G	approved,investigational	BE0000901
Human immunoglobulin G	approved,investigational	BE0003455
Human immunoglobulin G	approved,investigational	BE0004685
Human immunoglobulin G	approved,investigational	BE0004686
Human immunoglobulin G	approved,investigational	BE0000855
Anistreplase	approved	BE0000211
Anistreplase	approved	BE0000538
Anistreplase	approved	BE0000240
Insulin human	approved,investigational	BE0000033
Insulin human	approved,investigational	BE0000858
Insulin human	approved,investigational	BE0002123
Insulin human	approved,investigational	BE0001123
Tenecteplase	approved	BE0000211
Tenecteplase	approved	BE0000538
Tenecteplase	approved	BE0000717
Tenecteplase	approved	BE0000240
Tenecteplase	approved	BE0000969
Tenecteplase	approved	BE0002104
Tenecteplase	approved	BE0002105
Tenecteplase	approved	BE0001170
Tenecteplase	approved	BE0002109
Tenecteplase	approved	BE0001011
Tenecteplase	approved	BE0002110
Menotropins	approved	BE0000387
Menotropins	approved	BE0000134
Interferon gamma-1b	approved,investigational	BE0000711
Interferon gamma-1b	approved,investigational	BE0000467
Interferon alfa-2a, Recombinant	approved,investigational	BE0000661
Interferon alfa-2a, Recombinant	approved,investigational	BE0000385
Desmopressin	approved	BE0000293
Desmopressin	approved	BE0000165
Desmopressin	approved	BE0000773
